(0, 0)
(1, 0)
(2, 0)
(3, 0)
(4, 0)
(5, 0)
(6, 0)
(6, 1)
(6, 2)
(5, 2)
(4, 2)
(4, 3)
(4, 4)
(3, 4)
(2, 4)
(2, 5)
(2, 6)
(3, 6)
(4, 6)
(5, 6)
(6, 6)
(6, 5)
(6, 4)
(7, 4)
(8, 4)
(8, 3)
(9, 3)
(10, 3)
(11, 3)
(11, 4)
(11, 5)
(10, 5)
(10, 6)
(10, 7)
(10, 8)
(11, 8)
(11, 9)
(11, 10)
(10, 10)
(9, 10)
(8, 10)
(8, 11)
(7, 11)
(6, 11)
(5, 11)
(4, 11)
(3, 11)
(2, 11)
(1, 11)
(0, 11)
(0, 12)
(0, 13)
(1, 13)
(1, 14)
(2, 14)
(3, 14)
(3, 15)
(4, 15)
(5, 15)
(6, 15)
(7, 15)
(7, 14)
(8, 14)
(9, 14)
(9, 13)
(9, 12)
(10, 12)
(11, 12)
(11, 13)
(11, 14)
(11, 15)
